"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"cyba",197.068610325458,0.965358975356342,0.63790657139292,1.51332345306994,0.130197518168149,0.496494034725018,"cyba",0.885397294232888,0.442698647116444,"No significativo"
"tmem186",57.2357814814431,-0.371784325606016,1.59789510870479,-0.232671295869586,0.816016660110886,NA,"tmem186",0.088300974431966,0.044150487215983,"No significativo"
"tmem185",437.568747290338,-0.320772049017551,0.572859416258749,-0.559948985586134,0.575514234697095,0.862160719243271,"tmem185",0.239943930115951,0.119971965057975,"No significativo"
"tmem189",320.184303811577,-0.328019904349925,0.434278173296494,-0.755322105783052,0.450055738044221,0.799140794272527,"tmem189",0.346733696833522,0.173366848416761,"No significativo"
"msantd1",116.689868378382,0.231228042438836,0.73025660789044,0.316639438712929,0.751517206641749,NA,"msantd1",0.124061071412382,0.0620305357061909,"No significativo"
"prf1.1",3.74620517515611,5.58387970469936,4.3793973371421,1.27503381740267,0.202297272630223,NA,"prf1.1",0.694009972343524,0.347004986171762,"No significativo"
"ythdc1",1131.37283077993,-0.553351767650223,1.16287953627195,-0.475846164964086,0.634183977981397,0.888223792924273,"ythdc1",0.197784734182415,0.0988923670912076,"No significativo"
"zdhhc2",248.718080776321,0.642850083555025,0.898263164558666,0.7156589615593,0.474201956774466,0.811661341249986,"zdhhc2",0.324036658256187,0.162018329128093,"No significativo"
"prf1.5",7.96019001527539,0.444560508580707,3.38897679201755,0.131178386829863,0.895634193013029,NA,"prf1.5",0.0478693345286815,0.0239346672643407,"No significativo"
"zdhhc4",84.6920340167658,0.755330690744176,1.14719057687396,0.658417795587561,0.510269703494641,NA,"zdhhc4",0.292200216491788,0.146100108245894,"No significativo"
"zdhhc7",84.7709446458088,-1.35016799488395,0.924897351963995,-1.45980307113747,0.144344204278286,NA,"zdhhc7",0.840600649265011,0.420300324632506,"No significativo"
"zdhhc9",1560.61669903484,-0.512805432689902,0.349251471083157,-1.468298561777,0.142023141443833,0.514819205203461,"zdhhc9",0.847640885317515,0.423820442658757,"No significativo"
"ptprga",999.553332574171,0.362143299885152,0.427425049266472,0.847267375898177,0.39684610652934,0.762100509073865,"ptprga",0.401377876215389,0.200688938107695,"No significativo"
"ube2e1",4123.47578532018,0.0893169783481993,0.213640137187936,0.418072088530951,0.675894411370997,0.903458428451193,"ube2e1",0.170121144503054,0.0850605722515271,"No significativo"
"rap1b",1330.62819384663,0.159918720550816,0.297340530823285,0.537830211401145,0.590694272569563,0.867525535387534,"rap1b",0.228637240084311,0.114318620042155,"No significativo"
"ube2e3",10787.8776966342,0.20173424058866,0.175004558350252,1.15273706291074,0.249018323962788,0.646903265248659,"ube2e3",0.603768694257178,0.301884347128589,"No significativo"
"ube2e2",3264.25499781783,0.325199194314699,0.180999885997573,1.79668176320873,0.0723861557529387,0.379018376623335,"ube2e2",1.1403444870491,0.570172243524548,"No significativo"
"yars1",51.6539478501301,1.17658995398039,1.73290071862996,0.678971357869023,0.497156010243948,NA,"yars1",0.303507305922386,0.151753652961193,"No significativo"
"dnajc8",9424.85729058266,0.547873179646376,0.286166815100489,1.91452380477445,0.0555532604713043,0.335242334900382,"dnajc8",1.25529044683757,0.627645223418787,"No significativo"
